file,best_round,best_bcr,best_tp,best_tn,best_fp,best_fn,best_states,reference_states,best_state_gap,best_train_pos,best_train_neg,best_min_state_conf,best_avg_state_conf
automaton_5_2_2_2~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_2~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_2~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999998,0.999998
automaton_5_2_2_2~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_2~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_2~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_2~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_2~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_3~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_4~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_5~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_6~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999999,0.999999
automaton_5_2_2_6~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999998,0.999998
automaton_5_2_2_6~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999999,0.999999
automaton_5_2_2_6~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999999,0.999999
automaton_5_2_2_6~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999939,0.999939
automaton_5_2_2_6~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999996,0.999996
automaton_5_2_2_6~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_6~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999999,0.999999
automaton_5_2_2_6~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999996,0.999996
automaton_5_2_2_6~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999992,0.999992
automaton_5_2_2_7~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_7~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.500000,0.500000
automaton_5_2_2_8~0.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~1.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~2.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~3.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~4.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~5.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~6.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~7.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999023,0.999023
automaton_5_2_2_8~8.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999512,0.999512
automaton_5_2_2_8~9.txt,0,1.000000,100,100,0,0,5,5,0,75,46,0.999023,0.999023
automaton_5_2_2_9~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999992,0.999992
automaton_5_2_2_9~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999878,0.999878
automaton_5_2_2_9~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999985,0.999985
automaton_5_2_2_9~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999939,0.999939
automaton_5_2_2_9~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999992,0.999992
automaton_5_2_2_9~5.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999939,0.999939
automaton_5_2_2_9~6.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999756,0.999756
automaton_5_2_2_9~7.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999992,0.999992
automaton_5_2_2_9~8.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999878,0.999878
automaton_5_2_2_9~9.txt,0,1.000000,100,100,0,0,5,5,0,75,75,0.999985,0.999985
