file,TP,TN,FP,FN,BCR,N,train_pos,train_neg,eval_pos,eval_neg,seconds
automaton_5_2_2_5~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.025
automaton_5_2_2_5~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.022
automaton_5_2_2_5~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.028
automaton_5_2_2_5~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.022
automaton_5_2_2_5~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.023
automaton_5_2_2_6~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_6~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.025
automaton_5_2_2_6~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_6~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.015
automaton_5_2_2_6~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.014
automaton_5_2_2_6~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.014
automaton_5_2_2_6~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.016
automaton_5_2_2_6~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.014
automaton_5_2_2_6~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.016
automaton_5_2_2_6~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.014
automaton_5_2_2_7~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.030
automaton_5_2_2_7~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.030
automaton_5_2_2_7~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.032
automaton_5_2_2_7~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.031
automaton_5_2_2_7~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.031
automaton_5_2_2_7~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.031
automaton_5_2_2_7~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.028
automaton_5_2_2_7~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.030
automaton_5_2_2_7~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.031
automaton_5_2_2_7~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.030
automaton_5_2_2_8~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_8~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_8~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.010
automaton_5_2_2_8~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_8~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_8~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_8~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.010
automaton_5_2_2_8~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_8~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_8~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.009
automaton_5_2_2_9~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_9~1.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_9~2.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_9~3.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_9~4.txt,100,100,0,0,1.000000,200,75,75,100,100,0.018
automaton_5_2_2_9~5.txt,100,100,0,0,1.000000,200,75,75,100,100,0.017
automaton_5_2_2_9~6.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_9~7.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_9~8.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
automaton_5_2_2_9~9.txt,100,100,0,0,1.000000,200,75,75,100,100,0.019
